dict	key_norm	class	confidence	alt_form	alt_body_count	body_count	expansion	sources	notes
MW72	- Hind.	spacing	high	Hind.	19	0	Hindī.	mw72pref24.md:80	alt='Hind.' body_n=19
MW72	- Hund.	true_unused	low		0	0	the German form of Icelandic.	mw72pref24.md:91	no_alt_hit
MW72	- Icel.	spacing	med	Icel.	2	0	Icelandic.	mw72pref24.md:81	alt='Icel.' body_n=2
MW72	- Impf.	spacing	high	Impf.	75	0	Imperfect tense.	mw72pref24.md:84	alt='Impf.' body_n=75
MW72	- Impv.	spacing	high	Impv.	94	0	Imperative.	mw72pref24.md:85	alt='Impv.' body_n=94
MW72	- Lett.	spacing	high	Lett.	13	0	Lettish.	mw72pref24.md:95	alt='Lett.' body_n=13
MW72	- Lith.	spacing	high	Lith.	383	0	Lithuanian.	mw72pref24.md:96	alt='Lith.' body_n=383
MW72	- Megh.	spacing	med	Megh.	2	0	Megha-dūta, Johnson's second edition.	mw72pref24.md:103	alt='Megh.' body_n=2
MW72	- Pass.	spacing	high	Pass.	573	0	Passive voice.	mw72pref24.md:120	alt='Pass.' body_n=573
MW72	- Perf.	spacing	high	Perf.	106	0	Perfect tense.	mw72pref24.md:122	alt='Perf.' body_n=106
MW72	- Pers.	spacing	high	Pers.	54	0	Persian.	mw72pref24.md:123	alt='Pers.' body_n=54
MW72	- Prep.	spacing	high	Prep.	31	0	Preposition.	mw72pref24.md:131	alt='Prep.' body_n=31
MW72	- Pres.	spacing	high	Pres.	98	0	Present tense.	mw72pref24.md:132	alt='Pres.' body_n=98
MW72	- Refl.	spacing	med	Refl.	1	0	Reflexive or used reflexively.	mw72pref24.md:137	alt='Refl.' body_n=1
MW72	- Russ.	spacing	high	Russ.	83	0	Russian.	mw72pref24.md:140	alt='Russ.' body_n=83
MW72	- Scot.	spacing	high	Scot.	12	0	Scotch or Highland-Scotch.	mw72pref24.md:149	alt='Scot.' body_n=12
MW72	- Slav.	spacing	high	Slav.	226	0	Slavonic or Slavonian.	mw72pref24.md:151	alt='Slav.' body_n=226
MW72	- Unhx.	true_unused	low		0	0	Unādya.	mw72pref24.md:156	no_alt_hit
MW72	- anom.	spacing	high	anom.	29	0	anomalous, irregular.	mw72pref24.md:23	alt='anom.' body_n=29
MW72	- chap.	spacing	high	chap.	5	0	chapter.	mw72pref24.md:43	alt='chap.' body_n=5
MW72	- comm.	spacing	med	comm.	2	0	commentator or commentary.	mw72pref24.md:47	alt='comm.' body_n=2
MW72	- cons.	spacing	med	cons.	2	0	consonant.	mw72pref24.md:52	alt='cons.' body_n=2
MW72	- etym.	spacing	high	etym.	19	0	etymology.	mw72pref24.md:65	alt='etym.' body_n=19
MW72	- gend.	spacing	high	gend.	5	0	gender.	mw72pref24.md:72	alt='gend.' body_n=5
MW72	- geom.	spacing	high	geom.	7	0	geometry.	mw72pref24.md:73	alt='geom.' body_n=7
MW72	- gram.	spacing	high	gram.	182	0	grammar.	mw72pref24.md:78	alt='gram.' body_n=182
MW72	- long.	spacing	high	long.	32	0	longitude.	mw72pref24.md:98	alt='long.' body_n=32
MW72	- pers.	spacing	high	pers.	54	0	person.	mw72pref24.md:124	alt='pers.' body_n=54
MW72	- phil.	spacing	high	phil.	125	0	philosophy.	mw72pref24.md:125	alt='phil.' body_n=125
MW72	- poet.	spacing	high	poet.	164	0	poetic, poetic license.	mw72pref24.md:127	alt='poet.' body_n=164
MW72	- s. v.	spacing	high	s. v.	174	0	sub voce.	mw72pref24.md:154	alt='s. v.' body_n=174
MW72	- scil.	spacing	high	scil.	365	0	scilicet.	mw72pref24.md:148	alt='scil.' body_n=365
MW72	- sing.	spacing	high	sing.	727	0	singular number.	mw72pref24.md:150	alt='sing.' body_n=727
MW72	- Aor.	spacing	high	Aor.	469	0	Aorist.	mw72pref24.md:24	alt='Aor.' body_n=469
MW72	- Dor.	spacing	high	Dor.	52	0	Doric.	mw72pref24.md:57	alt='Dor.' body_n=52
MW72	- Eng.	spacing	high	Eng.	109	0	English.	mw72pref24.md:61	alt='Eng.' body_n=109
MW72	- Fut.	spacing	high	Fut.	70	0	Future.	mw72pref24.md:69	alt='Fut.' body_n=70
MW72	- Lat.	spacing	high	Lat.	834	0	Latin.	mw72pref24.md:94	alt='Lat.' body_n=834
MW72	- Mod.	spacing	high	Mod.	151	0	Modern.	mw72pref24.md:104	alt='Mod.' body_n=151
MW72	- Nir.	spacing	med	Nir.	4	0	Nirukta.	mw72pref24.md:110	alt='Nir.' body_n=4
MW72	- Par.	spacing	high	Par.	74	0	Participle.	mw72pref24.md:119	alt='Par.' body_n=74
MW72	- Pol.	spacing	high	Pol.	6	0	Polish.	mw72pref24.md:128	alt='Pol.' body_n=6
